gene_id	CC7_tx	CC7_prot	H2_tx	H2_prot	RS_tx	RS_prot	SSB01_tx	SSB01_prot
AIPGENE229	-0.25012		0.07758		0.67068		-0.56932	
AIPGENE230	0.32301		0.35549		0.16194		0.17954	
AIPGENE231			-0.72854					
AIPGENE234	1.78338		-1.42996		0.0188		-0.85292	
AIPGENE235	0.40616		-0.26563		0.02206		-0.13716	
AIPGENE236	0.17961		-0.41687		0.16575		0.02822	
AIPGENE237	0.46901		-0.16442		0.28083		1.341	
AIPGENE239	0.10033		0.15259		0.17422		0.37474	
AIPGENE240	0.59373		0.1542		0.43798		0.0539	
AIPGENE241	-0.1454		-0.65775		0.00797		-0.31415	
AIPGENE242	-0.71379						-0.58437	
AIPGENE243	0.38063	0.0187	0.17357	0.0361	-0.18154	-0.0183	0.27868	0.07214
AIPGENE244	-0.75092		-0.00914		-0.23119		-0.28002	
AIPGENE245	0.03609		-0.1578		0.25407		-0.20008	
AIPGENE246	0.1314	-0.03221	-0.04252	0.00542	0.27232	-0.01462	0.15541	0.03594
AIPGENE247	0.05754		-0.0418		0.02183		0.06154	
AIPGENE248	-0.21507		-0.21081		-0.08109		-0.19564	
AIPGENE249	0.35514		-0.05287		-0.13701		-0.68918	
AIPGENE250	0.29157		0.25078		0.31818		0.41421	
AIPGENE251	0.1737		-0.04664		0.86214		0.12371	
AIPGENE252	-1.93092		-0.03072		-0.25352		0.27243	
AIPGENE253	0.02082		-0.06112		-0.20946		-0.04589	
AIPGENE254	0.21637		0.15527		-0.16658		0.27849	
AIPGENE255	0.04783		0.08167		0.47504		0.21674	
AIPGENE256	0.03496		0.28559		-0.63762		0.5465	
AIPGENE257	0.07094		-0.07672		0.15424		-0.11101	
AIPGENE258	0.44088		-0.37857		-0.19113		-0.11017	
AIPGENE259	-0.2544		-0.02854		0.01345		-0.05594	
AIPGENE260	-0.18473	0.08274	-0.1479	0.14573	-0.00082		-0.05144	0.05034
AIPGENE261	-0.46646		0.22138				-0.54557	
AIPGENE262	0.1051		0.17631		0.16399		0.15077	
AIPGENE264	0.08634		-0.23103		0.10258		0.30488	
AIPGENE265	0.29937		0.19364		-0.09705		0.14528	
AIPGENE266	-0.02367	-0.0448	-0.13526	-0.00447	0.1465	-0.0241	-0.0295	0.07126
AIPGENE267	-0.44122		0.08966		0.52733		-0.02593	
AIPGENE268	0.28571		0.35781		0.61643		0.41033	
AIPGENE269	0.02592		-0.0212		-0.83819		-0.13566	
AIPGENE270			-0.14684		0.33437			
AIPGENE271	0.32307	-0.02763	0.06803	-0.03665	-0.10271	0.06243	0.07721	-0.11665
AIPGENE272	-0.38496		0.51741		0.35521		-0.2922	
AIPGENE273	-0.34404		-0.09054		0.12679		-0.01551	
AIPGENE275	-0.25023		-0.01615		0.08434		-0.08572	
AIPGENE276	0.07679		-0.01672		0.13135		-0.02051	
AIPGENE277	-0.72161		-0.28407		-0.21837		-0.9372	
AIPGENE278	-0.05872		-0.04867		0.05703		-0.05728	
AIPGENE282	-0.04544		-0.03153		-0.17229		0.13078	
AIPGENE283	-0.05427				-1.40117		0.92483	
AIPGENE284	0.85172		0.31499		0.24748		0.76541	
AIPGENE285	-0.20071		-0.15413		-0.43092		0.09945	
AIPGENE286	-0.76442		-0.03956		0.13064		-0.62993	
AIPGENE287	-0.19541		-0.33015		-0.51448		-0.01048	
AIPGENE288	-0.17577		-0.3271		-0.20862		-0.40315	
AIPGENE289	-0.24893		-0.07192		0.16725		0.36064	
AIPGENE290	-0.28288		-0.18672		-0.68405		-0.68257	
AIPGENE292	-0.42137		-0.65029		0.77765		0.13786	
AIPGENE293	0.4009		0.13695		0.23528		-0.04036	
AIPGENE294	-0.2733		-0.29185		-0.39565		-0.10952	
AIPGENE295	-2.92977		1.60555		3.28475		-1.62159	
AIPGENE296	0.4913		-0.60677		-2.41082		-0.07991	
AIPGENE298	-0.24315		0.07214		-0.12712		-0.44605	
AIPGENE299	-0.55561		-0.0235		1.02676		0.00832	
AIPGENE300	-0.65329		-0.60152		-0.12257		0.46071	
AIPGENE301	0.10525		0.21215		0.1546		0.41548	
AIPGENE302	0.1452		0.21532		0.54854		0.67137	
AIPGENE303	-0.18589		0.09421		-0.45281		-0.0334	
AIPGENE304	0.21135	0.10044	0.13555	0.01314	0.05166	0.10214	0.22648	0.03698
AIPGENE305			-0.67525		-0.3133		0.41348	
AIPGENE306	-0.38019		0.0729		-0.1455		-0.26971	
AIPGENE307	-0.83925				0.42834		-0.17475	
AIPGENE308	1.10434	-0.15342	0.53586	0.1422	0.50213	0.12102	0.68716	-0.10064
AIPGENE310	0.1275		0.32922		0.75163		-0.387	
AIPGENE311	0.43794		-0.19659		0.02957		0.24429	
AIPGENE312			-0.25654		0.4507			
AIPGENE313	0.21158	0.03616	-0.2541	0.06415	-0.18154	0.00635	-0.12834	-0.00208
AIPGENE315	-0.27009		-0.0085		-0.00992		-0.2129	
AIPGENE316			-0.27007					
AIPGENE317	0.99624		0.65566		0.64162		0.95838	
AIPGENE318	0.08742	0.15932	0.11088	0.061	0.11443		0.11191	-0.52487
AIPGENE320	-0.70146		-0.38868		-0.53878		-0.38158	
AIPGENE321	-0.49935	-0.28425	0.2656	-0.33842	-0.28122	-0.12418	-0.69198	-0.67122
AIPGENE322			0.7721				-0.23963	
AIPGENE323	0.03606		-0.04659		-0.20475		-0.14643	
AIPGENE324	-0.37065		-0.17623		-0.30399		-0.42253	
AIPGENE326	0.15125		-0.05209		0.17844		-0.09564	
AIPGENE327	0.14832		-0.23432		-0.16383		-0.15473	
AIPGENE328	-0.22516		-0.04534		-0.09667		-0.11581	
AIPGENE329	-0.17819		0.10975		0.20963		0.65493	
AIPGENE330	0.54488		-0.30418		-0.74983		0.51321	
AIPGENE331	-0.44547	0.02308	0.11063	-0.21689	-0.1337	0.07363	-0.52372	-0.06086
AIPGENE332	-0.22485		-0.02498		0.0753		-0.28992	
AIPGENE333			0.35491					
